자치구,면적,전체 면적 대비 구성비(%),행정동,법정동,통,반
종로구,23.91,3.95,17,87,279,1475
중구,9.96,1.65,15,74,253,1580
용산구,21.87,3.61,16,36,354,2581
성동구,16.86,2.79,17,17,467,3626
광진구,17.06,2.82,15,7,363,2999
동대문구,14.22,2.35,14,10,360,2633
중랑구,18.5,3.06,16,6,550,4165
성북구,24.58,4.06,20,39,464,3729
강북구,23.6,3.9,13,4,389,3381
도봉구,20.65,3.41,14,4,394,2974
노원구,35.44,5.86,19,5,712,5873
은평구,29.71,4.91,16,11,572,4236
서대문구,17.63,2.91,14,20,510,3669
마포구,23.85,3.94,16,26,418,3287
양천구,17.41,2.88,18,3,563,4601
강서구,41.44,6.85,20,13,644,5068
구로구,20.12,3.32,16,10,620,4851
금천구,13.02,2.15,10,3,383,2888
영등포구,24.55,4.06,18,34,583,4924
동작구,16.35,2.7,15,9,528,3562
관악구,29.57,4.89,21,3,631,5136
서초구,46.98,7.76,18,10,526,3521
강남구,39.5,6.53,22,14,840,5572
송파구,33.87,5.6,27,13,743,4192
강동구,24.59,4.06,18,9,618,5417
,,,,,,
